Data properties:

Recording date: 2019/11/13
Recording time: 09:50:55:000 (corresponds to time 0)
Study: Test2
Subject: HZT
Recording: HZT
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
744	177609	50	515	330	
745	177659	325	460	424	
746	177984	266	382	300	
747	178250	333	1128	458	
748	178583	58	1184	491	
749	178642	117	1166	451	
750	178758	116	1190	842	
751	178875	92	1140	864	
752	178966	341	1177	916	
753	179308	83	1206	834	
754	179391	67	1182	869	
755	179458	275	1153	478	
756	179733	283	1165	427	
757	180016	83	1212	968	
758	180099	125	1178	984	
759	180224	50	1211	877	
760	180274	117	1174	911	
761	180390	83	1226	894	
762	180474	150	852	892	
763	180624	266	629	442	
764	180890	250	472	257	
765	181140	266	1131	493	
766	181406	133	1063	991	
767	181540	50	1096	1014	
768	181590	117	945	940	
769	181706	58	981	937	
770	181765	125	949	922	
771	181889	400	404	895	
772	182289	316	550	373	
773	182606	383	419	310	
774	182989	125	641	990	
775	183114	50	618	1038	
776	183164	67	637	985	
777	183230	200	636	894	
778	183430	142	342	865	
779	183572	75	341	901	
780	183647	83	335	816	
781	183730	275	418	363	
782	184005	291	403	197	
783	184296	200	447	926	
784	184496	216	419	902	
785	184712	58	352	849	
786	184771	167	355	800	
787	184937	208	411	306	
788	185145	92	406	268	
789	185237	391	389	194	
790	185629	241	406	968	
791	185870	92	441	957	
792	185962	225	1155	934	
793	186187	275	1160	441	
794	186461	275	679	375	
795	186986	116	913	437	
796	187103	158	1249	129	
797	187261	466	1292	-15	
798	187727	699	1258	-5	
799	188427	333	1042	377	
800	188760	100	1147	160	
801	188860	125	1131	199	
802	188985	225	1146	157	
803	189209	225	814	540	
804	189434	341	807	609	
805	189776	325	1050	251	
806	190100	75	712	382	
807	190175	208	707	430	
808	190384	191	668	482	
809	190575	341	397	526	
810	190917	250	830	696	
811	191166	83	866	519	
812	191250	108	892	465	
813	191358	208	1133	204	
814	191566	291	1170	129	
815	191858	100	1190	898	
816	191958	125	1157	910	
817	192083	358	1158	782	
818	192440	633	1173	113	
819	193073	250	1086	108	
820	193323	242	729	528	
821	193565	308	1066	866	
822	193873	200	1177	832	
823	194073	291	819	923	
824	194364	75	768	553	
825	194439	67	795	504	
826	194506	175	787	574	
827	194681	241	1043	280	
828	194922	583	1154	145	
829	195505	316	1124	221	
830	195822	241	959	423	
831	196063	333	981	359	
832	196396	216	942	397	
833	196613	225	693	536	
834	196838	158	1094	247	
835	197212	891	1053	304	
836	198103	416	989	342	
837	198778	266	1025	348	
838	199044	283	648	264	
839	199328	483	484	86	
840	199811	275	841	343	
841	200085	75	905	404	
842	200160	108	892	439	
843	200268	291	445	332	
844	200560	275	1001	935	
845	200835	366	1183	918	
846	201201	575	1132	538	
847	201776	250	1159	996	
848	202026	441	1154	934	
849	202467	125	1196	947	
850	202592	117	1164	927	
851	202708	67	1211	847	
852	202775	383	1134	496	
853	203158	150	1081	509	
854	203308	216	732	380	
855	203525	75	741	341	
856	203600	100	1054	984	
857	203699	167	1103	980	
858	203866	233	1155	922	
859	204099	266	875	889	
860	204366	192	531	532	
861	204557	183	540	326	
862	204740	50	523	274	
863	205415	17	398	216	
864	205640	141	294	312	
865	205781	125	242	697	
866	205906	241	199	350	
867	206148	175	272	844	
868	206323	383	320	873	
869	206706	58	352	781	
870	206764	266	425	248	
871	207030	241	345	121	
872	207272	58	337	157	
873	207330	50	347	113	
874	207380	125	327	159	
875	207505	216	479	296	
876	207722	258	671	455	
877	207980	325	626	370	
878	208305	158	818	646	
879	208463	75	799	777	
880	208538	75	720	878	
881	208613	158	654	916	
882	208771	358	841	450	
883	209129	217	919	505	
884	209346	50	945	611	
885	209395	58	965	569	
886	209454	166	952	613	
887	209620	266	781	909	
888	209887	100	781	944	
889	209987	141	789	900	
890	210420	216	1032	542	
891	210844	133	1053	175	
892	210978	625	1288	-8	
893	211602	175	713	206	
894	211777	208	401	236	
895	211985	183	263	218	
896	212169	600	186	191	
897	212768	142	279	749	
898	212910	166	240	885	
899	213076	175	196	879	
900	213251	50	154	971	
901	213301	133	185	897	
902	213434	283	321	186	
903	213717	117	348	137	
904	213834	83	348	172	
905	213917	150	569	336	
906	214067	75	1078	509	
907	214142	75	1044	560	
908	214217	75	1079	545	
909	214292	450	738	890	
910	214742	325	825	433	
911	215067	475	697	399	
912	215541	83	806	920	
913	215625	92	751	977	
914	215716	133	820	899	
915	215849	216	847	837	
916	216066	92	1031	874	
917	216157	75	1094	818	
918	216232	200	1042	510	
919	216432	58	1064	466	
920	216491	50	1034	536	
921	216541	291	1133	633	
922	216832	408	1166	899	
923	217240	341	1190	559	
924	217582	50	1145	522	
925	217632	533	1158	561	
926	218165	141	1174	912	
927	218306	83	1186	863	
928	218389	50	1151	928	
929	218439	75	1167	892	
930	218514	291	1131	558	
931	218806	375	1149	513	
932	219180	466	1197	878	
933	219647	1091	1159	513	
934	220738	366	1137	547	
935	221104	291	1139	842	
936	221396	316	1170	762	
937	221962	67	1050	407	
938	222028	67	1006	422	
939	222095	175	463	262	
940	222270	83	479	227	
941	222353	200	451	266	
942	222553	500	374	88	
943	223053	308	501	357	
944	223361	266	310	537	
945	223627	200	413	984	
946	223827	183	389	870	
947	224010	125	481	727	
948	224135	192	392	599	
949	224327	191	524	295	
950	224518	75	525	258	
951	224593	83	463	876	
952	224677	50	397	805	
953	224727	100	477	923	
954	224827	325	522	806	
955	225151	200	124	598	
956	225351	242	227	544	
957	225593	125	264	975	
958	225718	100	247	1011	
959	225818	50	268	971	
960	225868	50	216	992	
961	225918	92	455	732	
962	226009	75	491	847	
963	226084	83	487	664	
964	226167	491	546	289	
965	226659	191	750	593	
966	226850	308	735	495	
967	227158	75	727	878	
968	227233	258	690	901	
969	227491	283	764	544	
970	227775	266	792	507	
971	228041	92	852	564	
972	228133	58	889	491	
973	228191	75	856	601	
974	228266	108	955	915	
975	228374	83	1006	891	
976	228457	50	966	909	
977	228507	100	984	833	
978	228607	166	1006	803	
979	228774	50	1020	432	
980	228824	141	1006	473	
981	228965	208	1131	459	
982	229174	133	1185	604	
983	229307	416	1166	948	
984	229723	525	1161	461	
985	230248	308	1186	960	
986	230556	83	785	888	
987	230639	183	785	840	
988	230823	100	546	473	
989	230922	58	566	415	
990	230981	483	535	335	
991	231464	166	1075	438	
992	231630	58	1096	401	
993	231689	150	1080	458	
994	231838	58	1099	416	
995	231897	192	1076	459	
996	232088	308	635	399	
997	232396	142	947	695	
998	232538	133	1088	949	
999	232671	333	1165	946	
1000	233004	450	1123	423	
1001	234095	108	945	1152	
1002	234553	75	563	682	
1003	234628	58	563	717	
1004	234686	450	592	467	
1005	235136	175	239	267	
1006	235311	216	190	172	
1007	235528	92	214	1055	
1008	235619	92	195	914	
1009	235711	117	236	938	
1010	235827	142	217	867	
1011	235969	100	236	141	
1012	236069	600	251	183	
1013	236669	266	473	686	
1014	236935	125	254	932	
1015	237060	283	269	989	
1016	237343	275	418	897	
1017	237618	350	502	436	
1018	237968	266	754	450	
1019	238234	258	718	449	
1020	238492	683	696	884	
1021	239175	283	641	864	
1022	239458	283	716	415	
1023	239741	258	757	469	
1024	240000	83	771	407	
1025	240083	75	765	274	
1026	240158	208	783	386	
1027	240366	75	834	525	
1028	240441	58	849	440	
1029	240499	108	841	535	
1030	240607	158	806	504	
1031	240766	83	803	456	
1032	240849	125	797	497	
1033	240974	141	915	526	
1034	241115	58	925	475	
1035	241174	108	903	541	
1036	241282	183	1105	595	
1037	241465	266	1194	657	
1038	241732	91	1170	966	
1039	241823	67	1163	1009	
1040	241890	308	1173	924	
1041	242198	1882	1153	615	
