Data properties:

Recording date: 2019/11/13
Recording time: 11:06:06:000 (corresponds to time 0)
Study: Test1
Subject: HMH
Recording: HMH
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
668	189121	1641	748	249	
669	190886	300	710	233	
670	191186	67	705	271	
671	191253	83	706	231	
672	191336	100	730	278	
673	191436	75	730	232	
674	191511	83	719	297	
675	191786	75	570	258	
676	192211	58	428	210	
677	192269	308	481	187	
678	192577	67	675	291	
679	192644	708	744	278	
680	193351	58	747	237	
681	193410	425	745	277	
682	193834	58	750	240	
683	193893	75	744	283	
684	194159	441	670	291	
685	194601	50	676	241	
686	194651	100	669	294	
687	194750	58	684	231	
688	194809	108	675	292	
689	195208	333	686	337	
690	195542	67	657	292	
691	195608	558	665	334	
692	196166	391	671	370	
693	196558	66	699	274	
694	196624	133	678	364	
695	196757	117	741	372	
696	196874	58	756	317	
697	196932	100	730	347	
698	197032	216	664	242	
699	197249	150	746	223	
700	197399	183	1070	478	
701	197582	250	1113	510	
702	197832	58	1113	470	
703	197890	100	1097	507	
704	197990	50	1078	545	
705	198040	466	1123	505	
706	198506	266	725	238	
707	198773	100	739	173	
708	199056	100	1087	456	
709	199156	300	1122	496	
710	199456	2065	1103	528	
711	201521	208	991	827	
712	201729	192	1018	799	
713	201921	58	885	763	
714	201979	50	834	871	
715	202029	58	864	831	
716	202087	208	639	802	
717	202295	183	515	439	
718	202478	108	560	885	
719	202587	250	679	887	
720	202837	133	729	882	
721	202970	92	720	938	
722	203061	50	681	982	
723	203111	83	724	931	
724	203195	50	745	820	
725	203386	83	766	363	
726	203470	366	744	410	
727	203836	75	724	376	
728	203911	67	722	320	
729	203977	250	733	354	
730	204227	1324	759	418	
731	205735	67	602	205	
732	206126	42	586	245	
733	206526	233	587	273	
734	206759	316	664	371	
735	207075	691	557	358	
