Data properties:				
Recording date: 2021/10/3				
Recording time: 16:50:57:000 (corresponds to time 0)				
Study: Test2				
Subject: P16				
Recording: Rec 12				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1098	377534	333	316	267
1099	377867	283	418	266
1100	378150	433	594	348
1101	378583	333	694	480
1102	378916	366	625	320
1103	379283	167	512	351
1104	379449	316	297	172
1105	379766	250	243	150
1106	380016	216	454	246
1107	380232	333	554	361
1108	380565	283	860	465
1109	380848	716	1087	524
1110	381565	166	915	820
1111	381731	266	567	338
1112	381997	200	875	481
1113	382397	300	984	517
1114	382697	250	907	780
1115	382947	316	1033	635
1116	383263	200	1099	524
1117	383463	99	625	380
1118	383563	283	579	322
1119	383846	250	474	310
1120	384096	366	366	233
1121	384462	433	607	753
1122	384895	383	714	474
1123	385278	383	855	490
1124	385661	300	876	822
1125	385961	450	1004	537
1126	386411	217	704	426
1127	386628	250	1080	768
1128	386878	466	1103	496
1129	387344	183	666	381
1130	387527	133	418	303
1131	387660	450	461	279
1132	388110	699	1031	273
1133	388809	433	809	452
1134	389242	633	591	542
1135	389875	200	873	360
1136	390075	100	753	319
1137	390408	483	265	122
1138	390891	483	225	135
1139	391374	416	373	163
